Company Name	Year Founded	Founder(s)	Industry	Funding Amount	Description	Employee Count
Urban Company	2014	Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan	Apps, Home Services, Marketplace, Service Industry	$445,920,356	Urban is a marketplace for independent contractors.	1001-5000
Classplus	2018	Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Nikhil Goel, Vatsal Rustagi	B2B, E-Learning, EdTech, Education, Mobile Apps, SaaS, Software	$89,506,451	Classplus is a mobile-first SaaS platform that allows 3000+ tutors to totally automate their curriculum and operations.	101-250
Paytm	2010	Akshay Khanna, Vijay Shekhar Sharma	E-Commerce, Finance, Financial Services, Internet, Mobile Apps, Mobile Payments	$32,448,851	Paytm is a payment gateway that allows users and businesses to make payments.	501-1000
Apna	2019	Nirmit Parikh	Employment, Human Resources, Recruiting, Staffing Agency	$93,450,000	Apna is a professional networking and job-search platform that connects blue- and gray-collar professionals with like-minded people and places to work.	101-250
Razorpay	2014	Harshil Mathur, Shashank Kumar	Financial Services, FinTech, Payments, Software	$366,600,000	Razorpay is a payment acceptance, processing, and disbursement platform for businesses.	1001-5000
UpGrad	2015	Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala	E-Learning, EdTech, Education	$176,283,446	UpGrad is a higher education portal that offers courses in Data Science, Technology, Management, and Law online.	1001-5000
Delhivery	2011	Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan	E-Commerce, Freight Service, Last Mile Transportation, Logistics, Shipping, Supply Chain Management, Transportation, Warehousing	$1,236,569,361	Delhivery is a supply chain management firm that specializes in transportation, warehousing, freight, and order fulfillment.	5001-10000
1mg	2015	Anurag Mundhada, Gaurav Agarwal, Prashant Tandon, Sameer Maheshwari, Vikas Chauhan	Delivery, E-Commerce, Health Care, Internet, Medical, Pharmaceutical	$204,600,209	1mg is a generic drug engine and online pharmacy network platform.	11-50
BigBasket	2011	Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Ramesh, VS Sudhakar	Delivery, Delivery Service, E-Commerce, Grocery, Internet, Retail, Shopping	$1,119,863,468	BigBasket is an online grocery and meal delivery service that brings personal and household items to customers' doorsteps.	5001-10000
GoMechanic	2016	Amit Bhasin, Kushal Karwa, Nitin Rana, Puneet Gulati, Rishabh Karwa	Automotive, Customer Service, E-Commerce, Sales	$59,849,371	GoMechanic is an online vehicle repair platform that allows consumers to arrange car maintenance at a convenient time.	251-500
Unacademy	2015	Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta	E-Learning, EdTech, Education, Training	$398,500,000	Unacademy is a web-based learning portal that offers educational materials such as video lectures and exams.	251-500
Ola	2010	Ankit Bhati, Bhavish Aggarwal	Apps, Internet, Mobile, Ride Sharing, Transportation	$3,808,672,049	Ola is an Indian mobility platform and ride-hailing firm.	5001-10000
Licious	2015	Abhay Hanjura, Vivek Gupta	Delivery Service, E-Commerce, Food and Beverage, Food Delivery	$158,589,644	Licious is an online meat and seafood ordering firm with a complete business model.	1001-5000
CRED	2018	Kunal Shah	Credit Cards, Financial Services, FinTech, Payments, Personal Finance	$471,205,550	CRED is a members-only credit card management and bill-paying website that pays customers for paying their bills on time.	251-500
CityMall	2019	Angad Kikla, Divij Goyal, Naisheel Verdhan	Consumer Goods, E-Commerce, Lifestyle	$37,100,000	CityMall is a peer-to-peer e-commerce company that offers lifestyle and curated products through WhatsApp referrals.	101-250
Pine Labs	1998	Rajul Garg, Tarun Upaday	Financial Services, FinTech, Information Technology, Payments	$423,238,799	Pine Labs is a merchant commerce platform that offers merchants funding and technology for last-mile retail transactions.	1001-5000
Dodla Dairy	1995	D. Sunil Reddy	Consumer Goods, Food and Beverage, Food Processing, Manufacturing	$71,276,176	Dodla Dairy processes and distributes milk and dairy products with added value.	501-1000
Groww	2017	Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh	Financial Services, FinTech, Funding Platform, Impact Investing	$142,262,674	Groww is a new investment platform that combines stockbroking and direct mutual funds to provide a new way to invest money.	251-500
Grofers	2013	Albinder Dhindsa, Saurabh Kumar	Delivery, E-Commerce, E-Commerce Platforms, Grocery, Retail	$662,398,135	Grofers is a low-cost online supermarket that also delivers groceries.	1001-5000
Jumbotail	2015	Ashish Jhina, Karthik Venkateswaran	E-Commerce, Food and Beverage, Grocery, Marketplace, Retail	$55,345,400	Jumbotail is an online marketplace that makes groceries and food purchasing easier.	101-250
slice	2016	Deepak Malhotra, Rajan Bajaj	Banking, Financial Services, FinTech, Lending, Payments	$53,665,909	Slice is the finest credit card challenger in India for paying bills, managing finances, and earning quick rewards.	251-500
InMobi	2007	Abhay Singhal, Amit Gupta, Mohit Saxena, Naveen Tewari, Piyush Shah	Advertising, Advertising Platforms, Digital Media, Marketing, Mobile	$320,600,000	InMobi creates an ad serving algorithm that aids in the optimization of the ranking of advertising displayed on mobile phones.	501-1000
Dunzo	2015	Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha	Delivery, Delivery Service, E-Commerce, Mobile, Mobile Apps	$128,399,438	Dunzo is a hyper-local delivery app that matches consumers with the closest delivery partner.	1001-5000
BYJUâS	2011	Byju Raveendran, Divya Gokulnath	E-Learning, EdTech, Education, Higher Education, Software	$2,745,964,432	BYJU'S is an educational technology firm that creates tailored learning programs for kids in grades K through 12.	10001+
Cashfree	2015	Akash Sinha, Reeju Datta	Finance, Financial Services, FinTech, Mobile Payments, Payments	$40,920,000	Cashfree is a payments and banking technology startup based in India that helps businesses collect payments and make payouts online.	251-500
